사용월,호선명,역ID,지하철역,승차승객수,하차승객수
2023-03,1호선,0150,서울역,"1,572,966","1,511,261"
2023-03,1호선,0151,시청,"777,741","781,161"
2023-03,1호선,0152,종각,"1,149,447","1,122,426"
2023-03,1호선,0153,종로3가,"855,518","778,067"
2023-03,1호선,0154,종로5가,"779,312","769,912"
2023-03,1호선,0155,동대문,"367,711","358,628"
2023-03,1호선,0156,신설동,"430,145","414,139"
2023-03,1호선,0157,제기동,"546,861","557,942"
2023-03,1호선,0158,청량리(서울시립대입구),"641,351","632,679"
2023-03,1호선,0159,동묘앞,"322,852","335,714"
2023-03,2호선,0201,시청,"735,893","693,116"
2023-03,2호선,0202,을지로입구,"1,367,295","1,397,904"
2023-03,2호선,0203,을지로3가,"712,575","705,609"
2023-03,2호선,0204,을지로4가,"413,070","418,749"
2023-03,2호선,0205,동대문역사문화공원(DDP),"439,779","496,954"
2023-03,2호선,0206,신당,"452,027","466,673"
2023-03,2호선,0207,상왕십리,"439,474","421,740"
2023-03,2호선,0208,왕십리(성동구청),"519,711","442,984"
2023-03,2호선,0209,한양대,"409,897","465,856"
2023-03,2호선,0210,뚝섬,"695,749","735,368"
2023-03,2호선,0211,성수,"1,165,085","1,286,995"
2023-03,2호선,0212,건대입구,"1,184,555","1,242,410"
2023-03,2호선,0213,구의(광진구청),"730,079","711,145"
2023-03,2호선,0214,강변(동서울터미널),"975,197","917,610"
2023-03,2호선,0215,잠실나루,"448,161","436,982"
2023-03,2호선,0216,잠실(송파구청),"2,319,115","2,296,822"
2023-03,2호선,0217,잠실새내,"698,415","692,758"
2023-03,2호선,0218,종합운동장,"265,240","282,219"
2023-03,2호선,0219,삼성(무역센터),"1,591,452","1,604,744"
2023-03,2호선,0220,선릉,"1,606,268","1,419,533"
2023-03,2호선,0221,역삼,"1,456,063","1,669,535"
2023-03,2호선,0222,강남,"2,390,276","2,300,090"
2023-03,2호선,0223,교대(법원.검찰청),"978,663","1,125,384"
2023-03,2호선,0224,서초,"665,392","637,978"
2023-03,2호선,0225,방배,"573,634","595,045"
2023-03,2호선,0226,사당,"1,244,962","1,373,260"
2023-03,2호선,0227,낙성대(강감찬),"869,182","836,263"
2023-03,2호선,0228,서울대입구(관악구청),"1,489,244","1,446,589"
2023-03,2호선,0229,봉천,"734,858","684,379"
2023-03,2호선,0230,신림,"1,748,705","1,687,953"
2023-03,2호선,0231,신대방,"792,969","768,855"
2023-03,2호선,0232,구로디지털단지,"1,742,597","1,728,125"
2023-03,2호선,0233,대림(구로구청),"756,488","773,760"
2023-03,2호선,0234,신도림,"1,533,848","1,516,826"
2023-03,2호선,0235,문래,"650,577","672,716"
2023-03,2호선,0236,영등포구청,"642,662","663,417"
2023-03,2호선,0237,당산,"581,118","669,841"
2023-03,2호선,0238,합정,"1,007,188","1,099,853"
2023-03,2호선,0239,홍대입구,"2,131,455","2,266,572"
2023-03,2호선,0240,신촌,"1,237,451","1,247,478"
2023-03,2호선,0241,이대,"561,422","608,444"
2023-03,2호선,0242,아현,"339,992","320,743"
2023-03,2호선,0243,충정로(경기대입구),"301,115","320,641"
2023-03,2호선,0244,용답,"98,806","101,576"
2023-03,2호선,0245,신답,"51,994","56,528"
2023-03,2호선,0246,신설동,"121,475","119,823"
2023-03,2호선,0247,도림천,"38,588","41,496"
2023-03,2호선,0248,양천구청,"216,778","226,005"
2023-03,2호선,0249,신정네거리,"319,923","329,588"
2023-03,2호선,0250,용두(동대문구청),"75,134","73,982"
2023-03,3호선,0309,지축,"193,244","189,520"
2023-03,3호선,0310,구파발,"654,392","636,692"
2023-03,3호선,0311,연신내,"1,089,735","1,034,431"
2023-03,3호선,0312,불광,"515,681","559,126"
2023-03,3호선,0313,녹번,"483,569","436,350"
2023-03,3호선,0314,홍제,"564,080","539,532"
2023-03,3호선,0315,무악재,"132,976","132,536"
2023-03,3호선,0316,독립문,"238,606","250,170"
2023-03,3호선,0317,경복궁(정부서울청사),"786,203","797,147"
2023-03,3호선,0318,안국,"812,177","854,913"
2023-03,3호선,0319,종로3가,"307,012","366,069"
2023-03,3호선,0320,을지로3가,"335,716","339,316"
2023-03,3호선,0321,충무로,48,0
2023-03,3호선,0322,동대입구,"327,935","372,373"
2023-03,3호선,0323,약수,"401,263","386,330"
2023-03,3호선,0324,금호,"248,808","228,681"
2023-03,3호선,0325,옥수,"281,818","285,307"
2023-03,3호선,0326,압구정,"965,489","1,044,049"
2023-03,3호선,0327,신사,"877,179","913,873"
2023-03,3호선,0328,잠원,"154,638","146,660"
2023-03,3호선,0329,고속터미널,"1,473,534","1,413,353"
2023-03,3호선,0330,교대(법원.검찰청),"457,627","294,690"
2023-03,3호선,0331,남부터미널(예술의전당),"925,992","941,603"
2023-03,3호선,0332,양재(서초구청),"1,107,763","1,205,383"
2023-03,3호선,0333,매봉,"365,837","352,899"
2023-03,3호선,0334,도곡,"162,333","168,696"
2023-03,3호선,0335,대치,"370,132","365,388"
2023-03,3호선,0336,학여울,"92,047","95,940"
2023-03,3호선,0337,대청,"316,356","296,556"
2023-03,3호선,0338,일원,"326,992","313,567"
2023-03,3호선,0339,수서,"567,993","574,587"
2023-03,3호선,0340,가락시장,"277,052","270,647"
2023-03,3호선,0341,경찰병원,"219,646","220,167"
2023-03,3호선,0342,오금,"193,481","176,962"
2023-03,4호선,0409,당고개,"288,254","256,253"
2023-03,4호선,0410,상계,"595,099","555,347"
2023-03,4호선,0411,노원,"593,438","672,025"
2023-03,4호선,0412,창동,"784,766","824,266"
2023-03,4호선,0413,쌍문,"894,900","829,759"
2023-03,4호선,0414,수유(강북구청),"1,065,357","1,067,447"
2023-03,4호선,0415,미아(서울사이버대학),"479,060","465,133"
2023-03,4호선,0416,미아사거리,"834,785","816,872"
2023-03,4호선,0417,길음,"688,519","688,376"
2023-03,4호선,0418,성신여대입구(돈암),"690,141","659,541"
2023-03,4호선,0419,한성대입구(삼선교),"460,486","445,963"
2023-03,4호선,0420,혜화,"1,141,350","1,145,359"
2023-03,4호선,0421,동대문,"616,191","629,761"
2023-03,4호선,0422,동대문역사문화공원(DDP),"559,244","486,015"
2023-03,4호선,0423,충무로,"894,476","913,148"
2023-03,4호선,0424,명동,"974,799","1,042,675"
2023-03,4호선,0425,회현(남대문시장),"805,371","838,796"
2023-03,4호선,0426,서울역,"368,787","632,648"
2023-03,4호선,0427,숙대입구(갈월),"479,071","458,962"
2023-03,4호선,0428,삼각지,"177,988","205,542"
2023-03,4호선,0429,신용산,"550,839","583,225"
2023-03,4호선,0430,이촌(국립중앙박물관),"274,657","304,088"
2023-03,4호선,0431,동작(현충원),"47,402","51,859"
2023-03,4호선,0432,총신대입구(이수),"588,965","636,075"
2023-03,4호선,0433,사당,"846,413","749,902"
2023-03,4호선,0434,남태령,"43,914","36,002"
2023-03,경부선,1001,서울역,"274,827","81,333"
2023-03,경부선,1002,남영,"313,525","331,464"
2023-03,경부선,1003,용산,"1,250,564","1,257,628"
2023-03,경부선,1004,노량진,"277,698","276,003"
2023-03,경부선,1005,대방,"337,090","366,142"
2023-03,경부선,1006,영등포,"1,312,662","1,347,105"
2023-03,경부선,1007,신도림,"120,512","126,068"
2023-03,경부선,1032,신길,"280,779","236,967"
2023-03,경부선,1701,구로,"550,414","565,451"
2023-03,경부선,1702,가산디지털단지,"498,943","582,979"
2023-03,경부선,1703,금천구청,"363,570","364,172"
2023-03,경부선,1704,석수,"293,560","268,533"
2023-03,경부선,1705,관악,"248,208","230,172"
2023-03,경부선,1706,안양,"818,527","817,735"
2023-03,경부선,1707,명학,"290,937","285,362"
2023-03,경부선,1708,금정,"866,789","880,903"
2023-03,경부선,1709,군포,"224,691","217,037"
